business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,scope,types,user_ratings_total,vicinity,photos,opening_hours,plus_code,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 24.9065339, 'lng': 67.06911079999999}, 'viewport': {'northeast': {'lat': 24.90789038029151, 'lng': 67.0704536802915}, 'southwest': {'lat': 24.9051924197085, 'lng': 67.06775571970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Balochistan Cafe,ChIJdxWhh1o_sz4RFyofBrUcMJ0,5.0,ChIJdxWhh1o_sz4RFyofBrUcMJ0,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"W349+JM6, Rustam Baloch Goth Road, Block 13 D 3 Gulshan-e-Iqbal, Karachi","[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112848999955743397629"">Sheikh Muhammad Hamza</a>'], 'photo_reference': 'AUGGfZkIHrFCNSt9zu915TTP9c9WRXjU9lZKCvyhykEQgEur6Px1fLl4Loqekpk8shd-RkJU0MnG_yczlQxJGT-v4SKpINEsvPAgf38ANzf1ToHSQGgwsLbLHiWi2xRadKp5iR43krVLnu4mnR8bSFM2Q6lsXAWoirrx5mImTGMjuR8ZxIMz', 'width': 4000}]",,,,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9127317, 'lng': 67.079945}, 'viewport': {'northeast': {'lat': 24.9140729302915, 'lng': 67.0813014302915}, 'southwest': {'lat': 24.9113749697085, 'lng': 67.07860346970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Qasim Khan Hotel,ChIJS9TLWpA_sz4Rq6SVnol67Tg,5.0,ChIJS9TLWpA_sz4Rq6SVnol67Tg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"Rufi Apartments, Sahba Akhtar Road, Block 13D-2 Block 13 D 2 Gulshan-e-Iqbal, Karachi","[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115215573116197405976"">Seth Asif Ahmed</a>'], 'photo_reference': 'AUGGfZlm-EUnMVr4S6V3wRC5ftAP6P8Bxb-s10d-VwzP_gAAVE5p6jbMX32I0qVx5mDyVvIsA-cgFUjww-2r651ajDcpEN8HJ7sCkxXezE99-bzsO7ChhNEHPU2Cds7q3H4JfvsgC21Lu8aVdBt-xN1NGLUUvFZEfbd91D8D1i-noyD7CZo', 'width': 4000}]",,"{'compound_code': 'W37H+3X Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9W37H+3X'}",,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.91203059999999, 'lng': 67.0803148}, 'viewport': {'northeast': {'lat': 24.9133643802915, 'lng': 67.08174488029151}, 'southwest': {'lat': 24.91066641970849, 'lng': 67.0790469197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe 13-D. کیفے تیرہ ڈی,ChIJC-Dg5yE_sz4RD8p1WXFuV38,4.0,ChIJC-Dg5yE_sz4RD8p1WXFuV38,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",561.0,"Shop No. 1, صبا ایوینیو, Block 13 D 3 گلشن اقبال, کراچی","[{'height': 1074, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117600033535781852848"">faraz Khan</a>'], 'photo_reference': 'AUGGfZkkOcMP0RKcQ63G_FAuxzdHhgnYNPJ9kYZiKqph1DLZO53SKzuiWL4722B_neCdbibDne02MCcuhZRCirYSS9-eCc7gIapBswDgweAwnREUl0eJkpy82atL3uyyA6wp7czg-Ko7I3YrKi2B4xBL19mkLR9GVfBOMmpCgXusFYwOrjVl', 'width': 1080}]",{'open_now': True},"{'compound_code': 'W36J+R4 Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9W36J+R4'}",1.0,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9137556, 'lng': 67.0671297}, 'viewport': {'northeast': {'lat': 24.91512678029151, 'lng': 67.0684953802915}, 'southwest': {'lat': 24.9124288197085, 'lng': 67.06579741970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,MashAllah Cafe Bhangoria,ChIJ7zdgCBc_sz4R6b4TP97wk7Y,3.7,ChIJ7zdgCBc_sz4R6b4TP97wk7Y,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",113.0,"W378+GV2, Azizabad Block 8 Gulberg Town, Karachi","[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116141898275908245851"">Umar Fawad</a>'], 'photo_reference': 'AUGGfZmQGiuKP-Op39rpBm9-7ZOupWnyRzp_JtLW0271lY0dgVKIb3WUFHsj8BYmqEWDkmpGkQIb6ETzerIcXKET0GTjYX5uHFJoGMBdLtNW_oOo40roCVwMdPmDScqycZC9EnJLR7Vzcf41cOwy2i9x9isauU9NjCVnfAs9_6W0dxMujeac', 'width': 3072}]",{'open_now': False},,1.0,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.912909, 'lng': 67.08028829999999}, 'viewport': {'northeast': {'lat': 24.9142603302915, 'lng': 67.0816349302915}, 'southwest': {'lat': 24.9115623697085, 'lng': 67.0789369697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Catering your Cravings,ChIJcx0-yq8_sz4RtIKw56C00OE,4.7,ChIJcx0-yq8_sz4RtIKw56C00OE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"Crown corner shop#1, Block 13D-1 Block 13 D 1 Gulshan-e-Iqbal, Karachi",,{'open_now': False},"{'compound_code': 'W37J+54 Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9W37J+54'}",,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.90750999999999, 'lng': 67.07997019999999}, 'viewport': {'northeast': {'lat': 24.9087300302915, 'lng': 67.0811044802915}, 'southwest': {'lat': 24.90603206970849, 'lng': 67.0784065197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Alamgir Koyela Chai,ChIJbdw6pps_sz4RUKemgBXWDVI,3.0,ChIJbdw6pps_sz4RUKemgBXWDVI,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",1.0,"W35H+2X5, Block 13 B Gulshan-e-Iqbal, Karachi","[{'height': 2944, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110245176152312612768"">Muhammad Arshad</a>'], 'photo_reference': 'AUGGfZkTK1wuoYpTa9gG2JIXd1H8lLcpVRs3xDBnfuXtDkStBjmcQvb3U3Qy1wQOdWKcPG424WCbpmWhozN5iSfe-Ao6oHLCJZ92jpUcOxCgCCrmmpXogDC5gVy4uOMbKNtxX9BedCz_oCnP_2otLFlASMeRWQn1n_n9ZOEcyRNRo5rbe6d_', 'width': 2944}]",,,,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9170749, 'lng': 67.0765144}, 'viewport': {'northeast': {'lat': 24.9183931802915, 'lng': 67.0778948802915}, 'southwest': {'lat': 24.9156952197085, 'lng': 67.07519691970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Al Mubarak Hotel,ChIJbyVAIAc_sz4R4FAoGitW43Q,4.6,ChIJbyVAIAc_sz4R4FAoGitW43Q,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",7.0,"Gulshan E Shamim Commercial II, Federal B Area Gulshan e Shamim, Karachi","[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109392761681710313297"">Raheem ullah Khan tareen</a>'], 'photo_reference': 'AUGGfZk4utB0qyQwzU2-CI_-dvQP2QmMqmFS9ivPjtzI-Uf4fAr8Zy3w1h1hYY8jbNHg8DLOUVkrIiNzdb_TJPNsPNep-K2_iB3yZ7-G5oB15giC6pWMe4KMYUdtLr39Be06bwqeDoDmH-dPmBwCyr1LF9g4PN7AQWX9_JrPAN-O0uMRkwUG', 'width': 1200}]",,"{'compound_code': 'W38G+RJ Gulshan e Shamim, Karachi, Pakistan', 'global_code': '7JP9W38G+RJ'}",,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9178494, 'lng': 67.0741057}, 'viewport': {'northeast': {'lat': 24.9192588302915, 'lng': 67.0754768802915}, 'southwest': {'lat': 24.9165608697085, 'lng': 67.0727789197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Huzaifa Bhai,ChIJpcgZ8RQ_sz4RH5PlW7jBizc,,ChIJpcgZ8RQ_sz4RH5PlW7jBizc,GOOGLE,"['cafe', 'park', 'food', 'point_of_interest', 'establishment']",,"Shamim Tower and Shopping Mall, 007, Federal B Area Block 8 Gulshan e Shamim, Karachi",,{'open_now': True},"{'compound_code': 'W39F+4J Gulshan e Shamim, Karachi, Pakistan', 'global_code': '7JP9W39F+4J'}",,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.9049815, 'lng': 67.0782555}, 'viewport': {'northeast': {'lat': 24.9063873802915, 'lng': 67.0796845802915}, 'southwest': {'lat': 24.9036894197085, 'lng': 67.07698661970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Lulla Hotel,ChIJa19Hx8k_sz4RwKUFBMxNLFc,,ChIJa19Hx8k_sz4RwKUFBMxNLFc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",,"B, 25, Block 13 A Gulshan-e-Iqbal, Karachi",,,"{'compound_code': 'W33H+X8 Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9W33H+X8'}",,8742e4405ffffff
OPERATIONAL,"{'location': {'lat': 24.905261, 'lng': 67.07864409999999}, 'viewport': {'northeast': {'lat': 24.9065306302915, 'lng': 67.08006073029149}, 'southwest': {'lat': 24.9038326697085, 'lng': 67.07736276970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta hotel1,ChIJv6clJ-U_sz4Rh6jLKeP-jS8,,ChIJv6clJ-U_sz4Rh6jLKeP-jS8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",,"Office No. M-16, Mezzanine floor, New Usmania Restaurant, Park View Apartment, Gulshan 13-B Block 13 B Gulshan-e-Iqbal, Karachi",,,"{'compound_code': 'W34H+4F Gulshan-e-Iqbal, Karachi, Pakistan', 'global_code': '7JP9W34H+4F'}",,8742e4405ffffff
