business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,photos,opening_hours,price_level,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.8549663, 'lng': 67.0105249}, 'viewport': {'northeast': {'lat': 24.8562635802915, 'lng': 67.0118429802915}, 'southwest': {'lat': 24.85356561970849, 'lng': 67.0091450197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Tea Cafe near this Place,ChIJ25uzgQU-sz4RIcIi66PTqtg,,4.4,ChIJ25uzgQU-sz4RIcIi66PTqtg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",12.0,"V236+X6J, Saddar, Karachi",,{'open_now': True},,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8639352, 'lng': 67.0091656}, 'viewport': {'northeast': {'lat': 24.8652438802915, 'lng': 67.0105591302915}, 'southwest': {'lat': 24.8625459197085, 'lng': 67.00786116970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Azad Sweet Mart,ChIJ6xRbjBk-sz4RDzp0gcNsCoc,,4.2,ChIJ6xRbjBk-sz4RDzp0gcNsCoc,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",80.0,"V275+HMF, Pilgrim Road, Ghanchi Para, Karachi","[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114053715389759888534"">Altaf Kamal</a>'], 'photo_reference': 'AUGGfZkEfSOx0Jm0891iJWkh30rn8ddIVxYao4DQ6GaItwOPEdUgbzs6TRPbXrYSHIV1xrAfSa4bPJaswlvZcWDWGVJRQHVHtv4fF7wQ-8MhAzQHnA7AZJ_veK5zZwx7npX9S-2h1ugtFsotz66IqOO3PQ5-YXdO--n_SSUZrdv2Elwt5WO5', 'width': 4608}]",{'open_now': False},1.0,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.854591, 'lng': 67.0110095}, 'viewport': {'northeast': {'lat': 24.8559458302915, 'lng': 67.0123631302915}, 'southwest': {'lat': 24.85324786970849, 'lng': 67.0096651697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Café Al-Noor,ChIJIXBNaNg_sz4RuFA6ysKOzAU,,4.5,ChIJIXBNaNg_sz4RuFA6ysKOzAU,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",2.0,"V236+RCJ, Masjid Street, Seari Quarters, Karachi",,,,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8599889, 'lng': 67.0041507}, 'viewport': {'northeast': {'lat': 24.86138048029151, 'lng': 67.0054443302915}, 'southwest': {'lat': 24.85868251970851, 'lng': 67.00274636970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Arslan Bakery,ChIJqcXmehw-sz4RlGpGFX0Komo,,4.2,ChIJqcXmehw-sz4RlGpGFX0Komo,GOOGLE,"['bakery', 'cafe', 'food', 'store', 'point_of_interest', 'establishment']",42.0,"V263+3MR, Haji Peer Street, Bhimpura Bhimpura, Karachi","[{'height': 2084, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110867705682442670130"">StatUs iCon</a>'], 'photo_reference': 'AUGGfZm_8S6FjyzcszhAwVXoGOEdUWdDfibrGNLB2PO4UCNkjAzpl_DkcT94tOiEtRnx8eD-yL7nvw0DlvFOuDzF5jWrpgbnow28VnnIaQs64TUxHT8MT5gthLGNhRFxjUAJRmj1A5R_e_kj350iR9_06kP06rCMkhjyF6Eg3g9gGhuDdytb', 'width': 4624}]",{'open_now': True},,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8580419, 'lng': 67.0038842}, 'viewport': {'northeast': {'lat': 24.8593839302915, 'lng': 67.0052364302915}, 'southwest': {'lat': 24.8566859697085, 'lng': 67.0025384697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,404 Headquarters,ChIJS312uME_sz4RL2yjTXz3F2o,,5.0,ChIJS312uME_sz4RL2yjTXz3F2o,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"V253+6H6, Wadhumal Odharam Road, Nanak Wara Adhumal Oodharam Quarter, Karachi","[{'height': 3474, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109191799054541923896"">TANVIR AHMED</a>'], 'photo_reference': 'AUGGfZliRY6ogi9BUInW2pIVeTip-jvZwH9bhNen7Nssp8nuotxcm7aHRuN-UFxl764XdwtaZOdqmMsTH8Bb_QTEDAnUsl35n1kjjEorgE90JbrOL612k3-bxQ8kvhzERUT_f0hiXv7YsxCGlniYWNVTN4sodYCA2S7P5nVmtfxvcDK7v8xh', 'width': 3474}]",,,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8607186, 'lng': 67.0153962}, 'viewport': {'northeast': {'lat': 24.8620693802915, 'lng': 67.01677058029152}, 'southwest': {'lat': 24.85937141970849, 'lng': 67.01407261970851}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Rehman کیفے رحمٰن,ChIJ9Y5EdEc_sz4RP9jflTg_1Lc,"{'compound_code': 'V268+75 Boharpir, Karachi, Pakistan', 'global_code': '7JP9V268+75'}",4.0,ChIJ9Y5EdEc_sz4RP9jflTg_1Lc,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"Iqbal Hoti Road, Boharpir, Karachi","[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113294178297459572840"">Adv. Bilal Ahmed</a>'], 'photo_reference': 'AUGGfZli_tEDZ2Alz_pELQ5a29UzEMf_3U8ixFUl3hoh01BAvMjmXZxgxRSqij8QnoZq4W5dAxPH01ZUeprYNNEAnxYiDZjKWQdhJAxkWHGaA-s8JleUD7OFwN3OrNDmGIxivhxOpY3y35JYAdPrfU2kO_KJ0-J_95dPOohI2bFjMDUuRnGI', 'width': 3456}]",,,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8594516, 'lng': 67.01598469999999}, 'viewport': {'northeast': {'lat': 24.8608225302915, 'lng': 67.0173373302915}, 'southwest': {'lat': 24.8581245697085, 'lng': 67.01463936970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Umair Rol Point,ChIJJbIX8BE-sz4RHQ4LtY-6H5w,"{'compound_code': 'V258+Q9 Aram Bagh, Karachi, Pakistan', 'global_code': '7JP9V258+Q9'}",5.0,ChIJJbIX8BE-sz4RHQ4LtY-6H5w,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,Pakistan,,,,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8537515, 'lng': 67.0120776}, 'viewport': {'northeast': {'lat': 24.8550895802915, 'lng': 67.0134387302915}, 'southwest': {'lat': 24.8523916197085, 'lng': 67.01074076970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Super Chai,ChIJ9_Mb_7Q_sz4RXPCq6gL7RIg,"{'compound_code': 'V236+GR New Chali, Karachi, Pakistan', 'global_code': '7JP9V236+GR'}",5.0,ChIJ9_Mb_7Q_sz4RXPCq6gL7RIg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"super biryani Mezanine floor office # M-1 golden plazaPakistan Chowk, street, New Chali, Karachi","[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100392893564905554959"">Chef Faizan Rehmat</a>'], 'photo_reference': 'AUGGfZnGOxGWlYYtWlUp_nKJSdhej1pLVv5abujfrmqz51YFeFbKuCmiizPBOpPYCxvbECNi0u_bk1gnSOgoT1Z_vgVzAZug6PlDd1V4o7hZTdqdVmqG9itQ0IcBBBj9EM2-GCwSzNtBWz7maJ8rgTf7XU3XStbZIlNjc_sef8K0pDh7M5Ft', 'width': 3264}]",{'open_now': True},,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.856047, 'lng': 67.0152758}, 'viewport': {'northeast': {'lat': 24.8573942802915, 'lng': 67.0165443302915}, 'southwest': {'lat': 24.8546963197085, 'lng': 67.01384636970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Drink Lab,ChIJIXPA3jk_sz4Rci_529dKv4E,,5.0,ChIJIXPA3jk_sz4Rci_529dKv4E,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",3.0,"V248+C46, Burns Road, Karachi","[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115123989915576946518"">Xuzar</a>'], 'photo_reference': 'AUGGfZnvY9VQ7luinuWBO2xbWzDndruUbbTccxO9bhNeozcFxuqNRpnqOxAH71fquW488JsAwc3_XezN-Cc99DQN0zeP7XYsoXZT_A4EfbmSc-h_1_vT2IENUxDhgLdrAzRBf7OwJPux7_kEwCjPAYFcKOnC2h6b4EDqSL0_5JNwbr_SrBy7', 'width': 3264}]",,,,8742e4432ffffff
CLOSED_TEMPORARILY,"{'location': {'lat': 24.8566568, 'lng': 67.0157146}, 'viewport': {'northeast': {'lat': 24.85801218029151, 'lng': 67.0170789302915}, 'southwest': {'lat': 24.8553142197085, 'lng': 67.0143809697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Matka Chai burns road,ChIJeeJACMc_sz4RSrNR4ekrN2k,,3.5,ChIJeeJACMc_sz4RSrNR4ekrN2k,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",2.0,"V248+J7V, Main Burns Road, Karachi","[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114532408519564320258"">Shahtaj Bhutto</a>'], 'photo_reference': 'AUGGfZnIVL2DOCWORf3Hbm1rmtMtdoI8V45zq5yEaONMOdx_6dhBfBD1Tkrj1FOuKtdiROC2qj1EVj9pf8QoXKiATR0BwhH6L8_2y1E289UwCiLIc0_mlRUxvryWGKrVz0mOJjE0MN40iuyT5We3gCBKCOhcT5yAElnEnvefYx1XfTYsMAtr', 'width': 3456}]",,,True,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8578269, 'lng': 67.00305949999999}, 'viewport': {'northeast': {'lat': 24.8591498802915, 'lng': 67.0043542302915}, 'southwest': {'lat': 24.8564519197085, 'lng': 67.00165626970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Buchal tea,ChIJd4mvwRw-sz4R81itXBVrQio,"{'compound_code': 'V253+46 Adhumal Oodharam Quarter, Karachi, Pakistan', 'global_code': '7JP9V253+46'}",3.5,ChIJd4mvwRw-sz4R81itXBVrQio,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",13.0,"Nigar Cenima Building North, Napier Road, Adhumal Oodharam Quarter, Karachi","[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103463147531092063451"">Buchal tea</a>'], 'photo_reference': 'AUGGfZmiQgHJ6p9I7l-iRIBw1kkUSgwXlIe7pgbNTtHGVtIQUZlok7gwEuVwipmsTA8wEP26KzlavGKTwDDq5vL9AO3k5_5X8rY9_iNfa1HwZtDjX9dthzOZ7DWsi2znblBHzhF7qogWlEHac4MYHD7LRf0aaaCfl4sx3IwZ4KYRUr7MNN98', 'width': 1600}]",{'open_now': False},,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8640372, 'lng': 67.0142407}, 'viewport': {'northeast': {'lat': 24.8653851802915, 'lng': 67.01562733029151}, 'southwest': {'lat': 24.8626872197085, 'lng': 67.0129293697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Adhiya tea stall,ChIJwQOCbJU_sz4RJuOeEr_ytsM,,5.0,ChIJwQOCbJU_sz4RJuOeEr_ytsM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"V277+JM9, Al-Shifa Street, Marwaari Lines, Karachi","[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101855557453086263793"">Zawaar Hussain</a>'], 'photo_reference': 'AUGGfZmgxYM7j8haPRJnEnXju9H14Ur-PUi2eWcCCMtV5c78rmpHgDv0iWCTWf_ygUtFx2_YV2vc6qEkWat31t5ndtMSHNJq89WAUThmNcs8v9iJ3dI5NL95-5Av9xGaJM2ZURtLi33uYmQ4lBzRHHew1yNv-kFcOHlkgSq9xfu-lA_M9A76', 'width': 1080}]",{'open_now': True},,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8568046, 'lng': 67.0162028}, 'viewport': {'northeast': {'lat': 24.85812048029151, 'lng': 67.0175672302915}, 'southwest': {'lat': 24.8554225197085, 'lng': 67.0148692697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Paan shop,ChIJA-d2foE_sz4RlPmSdpo5EIg,,,ChIJA-d2foE_sz4RlPmSdpo5EIg,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"V248+MGV, Gari Khata, Karachi",,,,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8564953, 'lng': 67.016091}, 'viewport': {'northeast': {'lat': 24.8578785302915, 'lng': 67.0174226302915}, 'southwest': {'lat': 24.8551805697085, 'lng': 67.01472466970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Hot Sips,ChIJk0VyKgk_sz4R0QzyFyeLHlg,,3.5,ChIJk0VyKgk_sz4R0QzyFyeLHlg,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",2.0,"V248+JC5, Burns Road, Karachi","[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102142651023615678582"">Aun Abbas Jafri</a>'], 'photo_reference': 'AUGGfZlHCyMAUgNZO51UvKiG81-E11YT5n6Yd4cbI5mbjpR04rdv4NE40LanaTmNJUntoIQfz1vJiQ4GE6NDc2BwwslH3F3IUwGCrDGGkuuz3b94-QSF4bR1MCGckfoyRJOYL6106uwZm90jjkouLK41RqXytfx_SOnjPxGzSCtv9vR6FTE', 'width': 2448}]",{'open_now': False},,,8742e4432ffffff
OPERATIONAL,"{'location': {'lat': 24.8549763, 'lng': 67.0151608}, 'viewport': {'northeast': {'lat': 24.8563277802915, 'lng': 67.01652138029151}, 'southwest': {'lat': 24.85362981970849, 'lng': 67.0138234197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Kulchai,ChIJWwCq89k_sz4RwLehKtkmuwQ,"{'compound_code': 'V238+X3 Saddar Karachi, Pakistan', 'global_code': '7JP9V238+X3'}",5.0,ChIJWwCq89k_sz4RwLehKtkmuwQ,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",4.0,"Shop no 10-B, Al-Momin Plaza, near Sabzi Gali, Muhammad Bin Qasim Road, Karachi","[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104446157203108033250"">Kulchai</a>'], 'photo_reference': 'AUGGfZn_kS57RmDGUVMiZ-YVyRkxoZxP3xF6DclFnMdnt2OcJvoBUxr7AGPb2y8LR7EnGI2JhRarlwNUp58wKK5_WpTUMnN4OTePUsCKugw30Nci3r2ZJi-AGBFqaoLYSNDytRMYxeRJq83jPZedFo4ges2UpWXFG-_gP0fJiYOFe3MgzXXV', 'width': 1868}]",,,,8742e4432ffffff
