business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 24.9165344, 'lng': 66.9625063}, 'viewport': {'northeast': {'lat': 24.91790218029151, 'lng': 66.96384258029151}, 'southwest': {'lat': 24.9152042197085, 'lng': 66.9611446197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta hotel,,"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100991562232457872173"">Syed Asadullah Agha</a>'], 'photo_reference': 'AUGGfZm2lT4vuv9SfgJfBn8kLmADQoLQLKmy2jbyShp36HN7oMpZYUw0_Ny6asTlH75Tnkg96QpDuSF4KbXzXsI47fS89zrUHRiLnbxcrGPjJ5CzVZ5_7pc29Ke1j1vC1evsvWZTbcwoYujIdOMShk6uH6_2sUKmAKfHjltncwqXJUNF_-vY', 'width': 2304}]",ChIJY5i_USUVsz4RuXrR1nVn4eM,4.6,ChIJY5i_USUVsz4RuXrR1nVn4eM,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",8.0,"WX87+J26, Sector 5 Gulshan e Habib, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9148354, 'lng': 66.9636555}, 'viewport': {'northeast': {'lat': 24.9162058302915, 'lng': 66.9650463302915}, 'southwest': {'lat': 24.91350786970849, 'lng': 66.9623483697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Mashallah Hotel,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107332319208277115693"">Mofeed Malik</a>'], 'photo_reference': 'AUGGfZlF7FAmAEH_ESKn2hPZXS7EgEOJOQ3KJt0EKLTzYmMVIbclYTq3_ioabyqqecGiXJaztzPdMdDI2g2kktsEX2k2WiJt06pLjI_4-JWOw16o1wkjW4KRYiGo_-mZwmukoh87nV66UJaNTFM-3h88DyviPpuWWcgIz0wdG4kHnBDpkmlY', 'width': 2076}]",ChIJiTeY2DoVsz4RVuAM22SAWo8,3.9,ChIJiTeY2DoVsz4RVuAM22SAWo8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",10.0,"5-j/126 24 Market Road, Ghaus Nagar Welfare Society, Karachi","{'compound_code': 'WX77+WF Ghaus Nagar Welfare Society, Karachi, Pakistan', 'global_code': '7JP8WX77+WF'}",,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.921373, 'lng': 66.9768346}, 'viewport': {'northeast': {'lat': 24.9227410802915, 'lng': 66.9782105302915}, 'southwest': {'lat': 24.9200431197085, 'lng': 66.9755125697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Xéë refreshment branch 2,,,ChIJeypW_r0Vsz4RvhwW_lyFskc,5.0,ChIJeypW_r0Vsz4RvhwW_lyFskc,GOOGLE,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",2.0,"WXCG+GPW, Block B Qadri Mohalla, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9122255, 'lng': 66.9695339}, 'viewport': {'northeast': {'lat': 24.9135615802915, 'lng': 66.97089178029151}, 'southwest': {'lat': 24.9108636197085, 'lng': 66.96819381970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Sufi Hotel صوفی ھوٹل,,,ChIJ29vCbZYVsz4R6rFrE_wiNro,4.5,ChIJ29vCbZYVsz4R6rFrE_wiNro,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",39.0,"7 baldia town road, Ghous Nagar Ghaus Nagar Welfare Society, Karachi","{'compound_code': 'WX69+VR Ghaus Nagar Welfare Society, Karachi, Pakistan', 'global_code': '7JP8WX69+VR'}",,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9122367, 'lng': 66.9699217}, 'viewport': {'northeast': {'lat': 24.9136400802915, 'lng': 66.9712376302915}, 'southwest': {'lat': 24.9109421197085, 'lng': 66.96853966970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Rafeeq Hotel,,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111699459542406023301"">Junaid Sultan Thaheem</a>'], 'photo_reference': 'AUGGfZko5WcWDOytkY4UwtkFTbh6Dk_OnPY7_t2l_njzDPc9ZLt550n7yTPJ_1aOnr8iwo5ffRe4KXinn7lCjV6TRzy_2xXHZG9Y3hEhtjO0HmpJnS9RTCC8E9olQKydW4ql0rSJqv1H9ABbPeAeCww9vKmi5yQ3m19R-UG8dLZ5LtFEOvo4', 'width': 3120}]",ChIJwwFFsD4Vsz4R1NDEmtWFv8w,4.2,ChIJwwFFsD4Vsz4R1NDEmtWFv8w,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",11.0,"7 Sufi Yousuf Shah Road, Ghaus Nagar Welfare Society, Karachi","{'compound_code': 'WX69+VX Ghaus Nagar Welfare Society, Karachi, Pakistan', 'global_code': '7JP8WX69+VX'}",,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.911981, 'lng': 66.9690232}, 'viewport': {'northeast': {'lat': 24.9132957302915, 'lng': 66.9704119302915}, 'southwest': {'lat': 24.9105977697085, 'lng': 66.96771396970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Al Madinah Hotel,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111909764220485434505"">Nanak Tanha</a>'], 'photo_reference': 'AUGGfZmC1UQGBxEzVJRpgTUuAXVOilEI7bn5kQc7qPLGyBXTSkq_b5yevUDOYaByXHkaHsKP_a7LNM_EdtBoPZYtcfQ3Buo1Nbvi2_NP4yhxJTctHy3jz7gLPdD2VBteS8a9GjwwpXJYuQP5UEFlWZGlSEm5-BbCcyANe6Gcz6Wo3P5zTFWD', 'width': 3000}]",ChIJPyq4H8gVsz4RLRJrW585oRY,3.6,ChIJPyq4H8gVsz4RLRJrW585oRY,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"WX69+QJR, Sufi Yousuf Shah Road, Ghaus Nagar Welfare Society, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9153559, 'lng': 66.9564047}, 'viewport': {'northeast': {'lat': 24.9166659802915, 'lng': 66.9577773802915}, 'southwest': {'lat': 24.9139680197085, 'lng': 66.9550794197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Baloch Hotel,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113400974151886514011"">Syed Tanzeel</a>'], 'photo_reference': 'AUGGfZl7IvRfGJflS4UQnMcFljrVvU96r0aL7oicDpsiTFxCQ7tgjodcZqER5Mn93rSGPgKBJ-biEH1sv4bUaGUt21jmuiWodQJ1Vi3UeSkEm_VMYaIfOatc8zvOtjw6bipE-ycJcCbLBrHzrD9dlI6v6MOF6TxIi8w-dmORXWlW7KkkWZR5', 'width': 3456}]",ChIJVzPFDyYVsz4Rv6FtyUD4LGc,4.0,ChIJVzPFDyYVsz4Rv6FtyUD4LGc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",58.0,"WX84+4HR, Sector 5 Baldia, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9341152, 'lng': 66.970423}, 'viewport': {'northeast': {'lat': 24.93549563029151, 'lng': 66.97176523029151}, 'southwest': {'lat': 24.9327976697085, 'lng': 66.9690672697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Zardari Hotel,,,ChIJ27DnZC5rsz4Rpr1cIyzXjNU,,ChIJ27DnZC5rsz4Rpr1cIyzXjNU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"WXMC+J5V, Farid Colony-Gulshan-e-Ghazi Road, Gulshan-e-Ghazi Gulshan e Ghazi, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9132195, 'lng': 66.9556498}, 'viewport': {'northeast': {'lat': 24.91458178029151, 'lng': 66.95701248029151}, 'southwest': {'lat': 24.9118838197085, 'lng': 66.95431451970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,God's colors,{'open_now': True},,ChIJuztlpwgVsz4RihFdpziLlzk,,ChIJuztlpwgVsz4RihFdpziLlzk,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"5b 78, saeedabad karachi, Karachi","{'compound_code': 'WX74+77 Gulshan e Habib, Karachi, Pakistan', 'global_code': '7JP8WX74+77'}",,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9348296, 'lng': 66.9725912}, 'viewport': {'northeast': {'lat': 24.93612888029151, 'lng': 66.97394948029151}, 'southwest': {'lat': 24.9334309197085, 'lng': 66.97125151970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Al Makkah Hotel,,,ChIJa-fRoP1rsz4R4sHFuI35hDc,,ChIJa-fRoP1rsz4R4sHFuI35hDc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"WXMF+W2P, Gulshan e Ghazi, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9092554, 'lng': 66.9697609}, 'viewport': {'northeast': {'lat': 24.9106121302915, 'lng': 66.97109023029151}, 'southwest': {'lat': 24.9079141697085, 'lng': 66.9683922697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New koyta VIP hotel,,,ChIJhyxjRNAVsz4RkXLOTIEULBA,,ChIJhyxjRNAVsz4RkXLOTIEULBA,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"WX59+PW2, Saeedabad, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9092554, 'lng': 66.9697609}, 'viewport': {'northeast': {'lat': 24.9106121302915, 'lng': 66.97109023029151}, 'southwest': {'lat': 24.9079141697085, 'lng': 66.9683922697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Saedabad,,,ChIJ3etG3tUVsz4RQliF4H-mzsg,5.0,ChIJ3etG3tUVsz4RQliF4H-mzsg,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"WX59+PW2, Rasheedabad Saeedabad, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9339019, 'lng': 66.9578472}, 'viewport': {'northeast': {'lat': 24.9352351302915, 'lng': 66.9591620802915}, 'southwest': {'lat': 24.9325371697085, 'lng': 66.95646411970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Karachi,{'open_now': True},,ChIJm6YbCABrsz4RkNobE7TpU0Q,,ChIJm6YbCABrsz4RkNobE7TpU0Q,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"WXM5+H49, near Oppo Mobile Market, Sector 8-A Baldia, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.93485069999999, 'lng': 66.9753374}, 'viewport': {'northeast': {'lat': 24.9362094302915, 'lng': 66.97671588029151}, 'southwest': {'lat': 24.93351146970849, 'lng': 66.97401791970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,coffee cafe,,,ChIJY6BET5prsz4RZNBOO8xlVsI,,ChIJY6BET5prsz4RZNBOO8xlVsI,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"WXMG+W4W, Gulshan-e-Ghazi Shah Mohalla, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.93532819999999, 'lng': 66.95728869999999}, 'viewport': {'northeast': {'lat': 24.9366766302915, 'lng': 66.9586364302915}, 'southwest': {'lat': 24.93397866970849, 'lng': 66.95593846970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Noman khan,,"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116545607622343052367"">Baby Dol</a>'], 'photo_reference': 'AUGGfZlIpzKiNwFMpWCNjTwN9fiVRIHUQ7hje_056GQ9AVhAB94MuAS67_j8EONM09bg7Oi0OoUf_JoIICZKSUBheCSJpWfK6mGzKVgo6hXRZmUtqTNTcyVlkWCVRjbp5gGnZMYZ2BTqe8Qtc2idXhCVrotbGZU7tPidbYvXP6GxVwutG1XK', 'width': 1920}]",ChIJ5wvQePBrsz4RSY8PXakjifg,1.5,ChIJ5wvQePBrsz4RSY8PXakjifg,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"WXP4+4WM, Sector 9-C Sector 9 C Baldia, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.909068, 'lng': 66.95849729999999}, 'viewport': {'northeast': {'lat': 24.9104469302915, 'lng': 66.95981783029151}, 'southwest': {'lat': 24.90774896970849, 'lng': 66.95711986970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Balochistan hotel,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115197262811283897398"">Ziddi Prince</a>'], 'photo_reference': 'AUGGfZnarcGg2UO74--xqLjjNYAwxD3nYls_jCYPs_BjR6vRuQNGYlHUMusWLC577BvNh10cCPpgWHUbumypkuTmYcbGe9jCaIlcU-evhBsuogfne8o8LPJWo9ziSomIKo4G9IxlqmOnSLLoHlO-XmLgrDq84g_OAoPBdmrc8dl1d0jZpPNU', 'width': 3264}]",ChIJSzewxyMVsz4Rlyc3GRKd82Q,4.1,ChIJSzewxyMVsz4Rlyc3GRKd82Q,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",54.0,"WX55+J9H, Mohajir Camp Gulshan e Habib, Karachi",,,8642e451fffffff
OPERATIONAL,"{'location': {'lat': 24.9106984, 'lng': 66.9773639}, 'viewport': {'northeast': {'lat': 24.9120333802915, 'lng': 66.97863913029151}, 'southwest': {'lat': 24.9093354197085, 'lng': 66.9759411697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Mashallah hotel Ghaffar brother,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100723835415545334815"">Ghaffar Khan</a>'], 'photo_reference': 'AUGGfZkSfbQ3yHcj8B6JwvwCSqcQzAfcu8n04gBDvBLJwlVo4Ca_SkZCZXBmvTCvcK0yWNxfpBlogJtl-WleHrITT5VUKwUBXoleIpSU9seWDvmyYXfo-GbNtBnJfsVGiXnA-bYl5R3RUB9PzdFoI-YyUQ_7q5MzMWg7zsWY9ignYx37ZNgz', 'width': 1080}]",ChIJS3un_nMVsz4R3J64MM9BxGE,,ChIJS3un_nMVsz4R3J64MM9BxGE,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"WX6G+7WX, Rasheedabad Rasheedabad, Karachi",,,8642e451fffffff
