business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,permanently_closed,price_level,hex_id
OPERATIONAL,"{'location': {'lat': 24.99314009999999, 'lng': 67.0505807}, 'viewport': {'northeast': {'lat': 24.99450248029151, 'lng': 67.0519276302915}, 'southwest': {'lat': 24.9918045197085, 'lng': 67.0492296697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Rozi Khan hotail,,,ChIJOVXwMABBsz4RVeU7CqDM4y4,4.0,ChIJOVXwMABBsz4RVeU7CqDM4y4,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"X3V2+66X, Sector 1 New Karachi Town, Karachi",,,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9857375, 'lng': 67.06151559999999}, 'viewport': {'northeast': {'lat': 24.9870085802915, 'lng': 67.0628677302915}, 'southwest': {'lat': 24.98431061970849, 'lng': 67.0601697697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,9 Tea کوئٹہ,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107396876975255149557"">Shahzad Mughal</a>'], 'photo_reference': 'AUGGfZmqu3euB09IncmlmqZZbeFdy01ZJYemwwAv6K815pMC3dCG87hVCrtNneR1lo_0OyKombHBoriOdZu2dE-0BUGjc3uktKyI4V0NPk_oV1UDdK2MsmDdfd90yEmtELg1-88mEEEho_rNqSuGQoBofOaXUE8m52gR58x2Dlr4VkOLH3VW', 'width': 1080}]",ChIJ0VFHPz9Bsz4RqMe65FeL074,4.8,ChIJ0VFHPz9Bsz4RqMe65FeL074,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,"X3P6+7JR, Sector 11-A Sector 5 C North Karachi Township, Karachi",,,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9828762, 'lng': 67.0622855}, 'viewport': {'northeast': {'lat': 24.9842258802915, 'lng': 67.0636421802915}, 'southwest': {'lat': 24.9815279197085, 'lng': 67.06094421970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Basit۔ کیفے باسط,,,ChIJV0cNrRFBsz4R2nJHSq_0Lis,1.0,ChIJV0cNrRFBsz4R2nJHSq_0Lis,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",1.0,"Plot A 649, Sector 11-A Sector 11 A North Karachi Township, Karachi","{'compound_code': 'X3M6+5W North Karachi Township, Karachi, Pakistan', 'global_code': '7JP9X3M6+5W'}",,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9951619, 'lng': 67.0497644}, 'viewport': {'northeast': {'lat': 24.9965201302915, 'lng': 67.05109603029152}, 'southwest': {'lat': 24.9938221697085, 'lng': 67.0483980697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Achanak hotel,,,ChIJxYt1FXlBsz4RbtG2-rWX7AA,,ChIJxYt1FXlBsz4RbtG2-rWX7AA,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"X3W2+23C, Sector 1 New Karachi Town, Karachi",,,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9925424, 'lng': 67.0599316}, 'viewport': {'northeast': {'lat': 24.9938885802915, 'lng': 67.06122968029152}, 'southwest': {'lat': 24.9911906197085, 'lng': 67.0585317197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,NEW KOITA DIL PASAND HOTEL,,,ChIJ93wgWMRBsz4RbE4WiX49yFo,,ChIJ93wgWMRBsz4RbE4WiX49yFo,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"Plot R 123, Sector 5c/2 Sector 5 C 2 New Karachi Town, Karachi","{'compound_code': 'X3V5+2X New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3V5+2X'}",,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9956219, 'lng': 67.0552146}, 'viewport': {'northeast': {'lat': 24.99700323029151, 'lng': 67.05655958029149}, 'southwest': {'lat': 24.9943052697085, 'lng': 67.05386161970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Dervesh Hotel کوئٹہ درویش ہوٹل,{'open_now': True},"[{'height': 591, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106643556168502492927"">Nashist Chai</a>'], 'photo_reference': 'AUGGfZmjpoD94l8NeXqhqsR1ijtOQ9-qLyukEAdcL2Zjyro4TG_YDqvkosT5V-bGrFtZkkZkqsHUiKJG4nSSD7rqRFZB8IwG86RiCToWEm1770mOPj_OqeZf1I33Rv7iKHBfG91vVsuiAlgRv2AzpFRkZJFDfvuErYWHFi5wT6BUObll4US6', 'width': 519}]",ChIJDcETfa1Bsz4RNS_OLdw5Nvs,4.1,ChIJDcETfa1Bsz4RNS_OLdw5Nvs,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",15.0,"Plot R 2, Sector 5 B 3 New Karachi Town, Karachi","{'compound_code': 'X3W4+63 New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3W4+63'}",,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9957669, 'lng': 67.0579455}, 'viewport': {'northeast': {'lat': 24.99714133029151, 'lng': 67.0592929802915}, 'southwest': {'lat': 24.9944433697085, 'lng': 67.0565950197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Malik Shakeel Dairy Farm Milk Shop,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112330549892176890868"">Muhammad MAIRAJ uddin</a>'], 'photo_reference': 'AUGGfZn5H1emhedIZDjvWDRhOAnv6RX5KVIKToFKPr6MAW3B9PC0eFH6q6KQrA-i7lDY-1xMiF6jbvD5O93wDVgt1eFUFA0wCTuYYQNqjurZ9joTUw_f73ljBD0o2xAnyrlyFuBD5E4Oa7YDRBWkdLbzdKmBZ01iRg68Cq7PrJuuFOmQgm_j', 'width': 3120}]",ChIJ3ZokAetBsz4RjYKAHAXFH88,3.9,ChIJ3ZokAetBsz4RjYKAHAXFH88,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",18.0,"Plot R, 58, Sector 5 B 3 New Karachi Town, Karachi","{'compound_code': 'X3W5+85 New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3W5+85'}",,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9718926, 'lng': 67.0556993}, 'viewport': {'northeast': {'lat': 24.97319703029151, 'lng': 67.05715458029151}, 'southwest': {'lat': 24.9704990697085, 'lng': 67.0544566197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Mashallah Quetta Hotel,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110107374023219587485"">Kashan Nawaz</a>'], 'photo_reference': 'AUGGfZkirKX-bNBaSQyxZiqrMMOCs9pik2y6uCUmiw8iseDVzqV6WY7V-v_fg3rUeEnCprTrnoTOU47caIfvoXUtmMf2m0wlcgB7BJEpdeRcEqA7Ar6XiELs3myLQ9c-TK1Pltvks1rqd1rIaPFYG2Axdi-bXZdt_uZoOFc88k9u6DDFOq5l', 'width': 3000}]",ChIJ7VxwcWJBsz4RVYlIFZXfGys,4.0,ChIJ7VxwcWJBsz4RVYlIFZXfGys,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"X3C4+Q74, Disco More, Sector 9 North Karachi Township, Karachi",,,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9720524, 'lng': 67.0573605}, 'viewport': {'northeast': {'lat': 24.9733991302915, 'lng': 67.0586785302915}, 'southwest': {'lat': 24.9707011697085, 'lng': 67.0559805697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Bismillah Hotel - کوئٹہ بسم اللّٰہ ہوٹل,{'open_now': True},"[{'height': 3968, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117720343785616073517"">FAWWAD Fou&#39;ad SIDDIQUI</a>'], 'photo_reference': 'AUGGfZni_xkQg7L0hwbgHFbpHEq4dSpA0iGxSj9DtiUqNWyPREQ4ID28ZwJhBzjzyqtgMC2n9Xcmybi7dLGHKOLoplczGP6AP1UbSbU4oe-lWB2njGElFSirMFrvKC4mZ0iqeMzHzpYhntrJdYMPodjyEI3xKEgnYIvh4ea7pA0EBOUYYtsU', 'width': 2976}]",ChIJPQrRNFpBsz4RgsneWmlxaf4,4.7,ChIJPQrRNFpBsz4RgsneWmlxaf4,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,"X3C4+RWH, Sector 11-B Sector 11 B North Karachi Township, Karachi",,,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9973737, 'lng': 67.0542825}, 'viewport': {'northeast': {'lat': 24.9987241802915, 'lng': 67.0556697302915}, 'southwest': {'lat': 24.9960262197085, 'lng': 67.05297176970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,North چاے Cafe,{'open_now': True},"[{'height': 674, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108702067957493821870"">North چاے Cafe</a>'], 'photo_reference': 'AUGGfZmH0abPSEABIHMglTHTlCm5zahP_xrod_Gc9kaur2p_6TmrGEJXg3qLWxWt5lT8y7vI34-jZgOVkEhrP8-JUnyoqlHxGpOKnIsY7_cEN0W8EWraNQVQoBRdsKFfQrhgXmKPBAd0Lkqi5ZbVzbNx8gGCFBu_giFdDCR39DNokHMlaDLi', 'width': 720}]",ChIJY3SdcZ1Bsz4RCy34gPt1dDo,4.4,ChIJY3SdcZ1Bsz4RCy34gPt1dDo,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",26.0,"Sector 3 North Karachi Township, Karachi","{'compound_code': 'X3W3+WP North Karachi Township, Karachi, Pakistan', 'global_code': '7JP9X3W3+WP'}",,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9746715, 'lng': 67.0408647}, 'viewport': {'northeast': {'lat': 24.9760226802915, 'lng': 67.0421955302915}, 'southwest': {'lat': 24.9733247197085, 'lng': 67.03949756970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta.MashaAllah.Hotel,,,ChIJf5KkiiBBsz4RKCc1jR018nc,,ChIJf5KkiiBBsz4RKCc1jR018nc,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",,"X2FR+R86, Pukhtun Abad Pukhtoonabad, Karachi",,,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9865485, 'lng': 67.0664086}, 'viewport': {'northeast': {'lat': 24.9879502302915, 'lng': 67.06775463029152}, 'southwest': {'lat': 24.98525226970849, 'lng': 67.0650566697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Street Food Cafe,{'open_now': False},"[{'height': 928, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117106958516736455634"">Rizwan Hassan</a>'], 'photo_reference': 'AUGGfZmjmJIW44lKqSbcAth5CIqdi_K8PRTrkVJCAh9nQowOV34kL0LmbE4oTeaNRXN5hFF_GqqwFXgUUh3Zqphn-h1Fx11cQhWHK3cNaxkPoJBBwnK-ZDNfLCLfF0C38hZTnjIsEXNQeu95pY-D8XXdlq_PP7gocHzCL5wPorZP_PolOx3R', 'width': 1436}]",ChIJP0Aq-UtBsz4R_RZSBMtUKg8,4.8,ChIJP0Aq-UtBsz4R_RZSBMtUKg8,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"X3P8+JH7, Sector 5-L Sector 5 L New Karachi Town, Karachi",,,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9788401, 'lng': 67.0654455}, 'viewport': {'northeast': {'lat': 24.9802665802915, 'lng': 67.06679248029151}, 'southwest': {'lat': 24.97756861970849, 'lng': 67.06409451970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta Lala Hotel by Taha vohra,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117216161359311702041"">Quetta Lala Hotel by Taha vohra</a>'], 'photo_reference': 'AUGGfZksqQdCCO8Pv33qddQoBlyScuodVMkJujNGVEh3PYwki5rVGi8B7RHfKXR5mGfSar7uZwjTt8BTRFEZB_t8ShQAFQXqcZfFU76wHJ4LkvkuhU-MvhTGpz2-kmf5g-qScFnQFNN2mFpW9D5f0jZhqf5xXOUhFjGzHLBI3xKFjc3Geo-q', 'width': 1920}]",ChIJ61XZdchBsz4RtxRRIeiX9bQ,4.2,ChIJ61XZdchBsz4RtxRRIeiX9bQ,GOOGLE,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",39.0,"X3G5+GWP, Plot 889 Shahrah-e-Usman, Sector 11-B Sector 11 B North Karachi Township, Karachi",,,,8642e4557ffffff
CLOSED_TEMPORARILY,"{'location': {'lat': 24.971936, 'lng': 67.0585986}, 'viewport': {'northeast': {'lat': 24.97331968029151, 'lng': 67.05994533029151}, 'southwest': {'lat': 24.9706217197085, 'lng': 67.05724736970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe 2 Bhai,,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105325142321751501892"">Shoaib rajkoti</a>'], 'photo_reference': 'AUGGfZkWs3y1VuTJB9DASc4E10Dk7PpN6gbgrHiyuIENKP79aIxNZ4XI0QTTZlB_H15UwGGS1mIalXWNuuErNbnK409SQhUvdvuXULMz38qqTRawKHAg-bR97_eFb0Z8KlU2uO4VTaWrIOAJFt53PO_jBC_J7PTwLL5dlFKOkBHAlaPVFu3a', 'width': 1080}]",ChIJoSBBgQJBsz4RDCebZBOmD1U,2.5,ChIJoSBBgQJBsz4RDCebZBOmD1U,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,"X3C5+QCH, Sector 11-C-3 Sector 11 B North Karachi Township, Karachi",,True,,8642e4557ffffff
OPERATIONAL,"{'location': {'lat': 24.9888277, 'lng': 67.0660383}, 'viewport': {'northeast': {'lat': 24.9901734802915, 'lng': 67.06732248029151}, 'southwest': {'lat': 24.98747551970849, 'lng': 67.0646245197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,UZAIR FAROOQ BKL MASTANA HOTEL 6.0,,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104787679789977775337"">Ukasha Khalil</a>'], 'photo_reference': 'AUGGfZlmGR7OkolpXppZsNgZZC0r5Hsnx9HLcaJV0dvpFaX7-5T_TTrq5OjFwM9qrbkrv3MtMAf3_ulVovRE4YoKP2hWSxXRF_mcClvN8RmPfW8rZG4UWwsOi5xnpuzVk-ZztZy2gBTFQmTFXh2KhqI1ineXrumxR8EDzXnJGwu3ocHw7CwK', 'width': 1920}]",ChIJh1oWOABBsz4R-BOtutxibTo,5.0,ChIJh1oWOABBsz4R-BOtutxibTo,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"5-K, Sector 5-K Sector 5 L New Karachi Town, Karachi","{'compound_code': 'X3Q8+GC New Karachi Town, Karachi, Pakistan', 'global_code': '7JP9X3Q8+GC'}",,,8642e4557ffffff
