business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,permanently_closed,hex_id
OPERATIONAL,"{'location': {'lat': 24.8442984, 'lng': 67.05466240000001}, 'viewport': {'northeast': {'lat': 24.8456891802915, 'lng': 67.0559767302915}, 'southwest': {'lat': 24.84299121970849, 'lng': 67.0532787697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,New Quetta Chai Mahal,,,ChIJF1UZCac9sz4R6tpSOF4t5l8,,ChIJF1UZCac9sz4R6tpSOF4t5l8,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"Shop #02, Ayesha Apartment, OCHSAlamgir RdBahadurabad, Overseas CHS, Karachi","{'compound_code': 'R3V3+PV Karachi Cantonment, Karachi, Pakistan', 'global_code': '7JP9R3V3+PV'}",,8642e4417ffffff
CLOSED_TEMPORARILY,"{'location': {'lat': 24.8464026, 'lng': 67.0547449}, 'viewport': {'northeast': {'lat': 24.8477554302915, 'lng': 67.0561360302915}, 'southwest': {'lat': 24.8450574697085, 'lng': 67.05343806970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Quetta baitak chai khana,,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109338774027432259293"">Zaheer Khan</a>'], 'photo_reference': 'AUGGfZm0-abcdUJXqktUHETlDLwLqfU7iAfWC5ZCISeOPxeTIDC0PHz0s7Gj_8vdXzCtP3wF4CwrHnUqSR_78kS5G9pW7VIpX_S2R-qPJ23YnsJESn4pPG9Tc_4oHPY_LoBsdEY8Qz3TzqOjP8dkU74r6oi_84MFVF3EDDfvuw2lbTiLVuNU', 'width': 4128}]",ChIJK8pLduk9sz4RNEYT46xebBU,4.4,ChIJK8pLduk9sz4RNEYT46xebBU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",39.0,"R3W3+HV9, Karachi Cantonment Karachi Cantonment, Karachi",,True,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8289503, 'lng': 67.0493168}, 'viewport': {'northeast': {'lat': 24.8303583302915, 'lng': 67.05065618029151}, 'southwest': {'lat': 24.82766036970849, 'lng': 67.0479582197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Star,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117585499485020807095"">Naveed Ahmed</a>'], 'photo_reference': 'AUGGfZl5jI7W_f3enc9d3ZFx2mRrDJ7M63JRScxQcOXv1OY62_WAPx5vPMGmi96vkOQmV7Eiq5kgIWCiLN6a1AuyL02NGOu-J6b4vCn16LRnd1cQooTGEvMHnpnnFO5ZBZAPU2oPBHL3LO6iFOxdnUQY5CYCoMa06kGUyP75inmw3dsXgm0W', 'width': 720}]",ChIJ1YuzyS09sz4R9iOJDmXmVBE,4.0,ChIJ1YuzyS09sz4R9iOJDmXmVBE,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,"R2HX+HPP, BRC Tower, near Altamash Institute of Dental Medicine, New P&T Colony, Karachi",,,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8309476, 'lng': 67.04497649999999}, 'viewport': {'northeast': {'lat': 24.8322994802915, 'lng': 67.0463392802915}, 'southwest': {'lat': 24.8296015197085, 'lng': 67.04364131970848}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Jilani Sharjah Hotel.,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115268618137156363976"">Ayaz Ali</a>'], 'photo_reference': 'AUGGfZnuzgdAk3NeUvL1r4qN9YYicyYGH67scYj7SWVzIOdCSB8ellVWGPxqBKR2Aa9FueFZeOxUZYnWhK5vdKI06Bp9QX2LmxrMkRIzFzSzOHioXGlQCohvG8snu-tiBmgsUhupcuJcp05PYO7iicFQ7stSCKDthze7UBLBnXvY20fbQYu9', 'width': 3000}]",ChIJR-6ENkY9sz4RCA3U8l82ylY,4.0,ChIJR-6ENkY9sz4RCA3U8l82ylY,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",5.0,"R2JW+927, Bukhari Road, Chandio Punjab Colony, Karachi",,,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.847783, 'lng': 67.058315}, 'viewport': {'northeast': {'lat': 24.8491223302915, 'lng': 67.05967283029152}, 'southwest': {'lat': 24.8464243697085, 'lng': 67.0569748697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,نیو کوئٹہ بسم اللہ ہوٹل,,,ChIJR_dj74U9sz4RNVwvELdBnds,,ChIJR_dj74U9sz4RNVwvELdBnds,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"R3X5+488, Mehmoodabad Road, D.H.A. Phase 1 Defence Housing Authority, Karachi",,,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.831293, 'lng': 67.0420075}, 'viewport': {'northeast': {'lat': 24.8326439802915, 'lng': 67.0433549302915}, 'southwest': {'lat': 24.82994601970849, 'lng': 67.0406569697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Ghani Hotel,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116812583106078902709"">Adnan Ali</a>'], 'photo_reference': 'AUGGfZk8lQDdZ3bsSMgDJOCp6W3ZJuSDVeu2TfHnzyCS5Bb7jkwT0q_ZmoIDUqgnpadFWlBf4ep8voZzpMlZOCjBaWIg1vbWo6qWZRJoCRYmnz_JlRZNc5Tmz1g3BregHds5IaIrt_sCsSz8YyVOJmjUO7I3pYh4paoDfLsNMXniU7Eym2rU', 'width': 4160}]",ChIJ1ae5UIM9sz4R0VzNHON3B5I,4.0,ChIJ1ae5UIM9sz4R0VzNHON3B5I,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",35.0,"32, Block 8 Clifton, Karachi","{'compound_code': 'R2JR+GR Clifton, Karachi, Pakistan', 'global_code': '7JP9R2JR+GR'}",,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8320411, 'lng': 67.04130769999999}, 'viewport': {'northeast': {'lat': 24.8334005302915, 'lng': 67.0426762302915}, 'southwest': {'lat': 24.8307025697085, 'lng': 67.0399782697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Al Noor,{'open_now': True},"[{'height': 2976, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110120298464595652274"">Hafiz Khan Hafiz Khan</a>'], 'photo_reference': 'AUGGfZlEBKHqV-e2Un-RS1z_Y4j8fOIHzhB25qd9ZNVAA_axhcd63ZKIpHLQjFkCrTuJiNudm7UppEvErfIv8gHILr34_5_b6EcVfKPmbWVzF58UEyUludzxJZv1pZejZ0XZHCbxU8JTOz4uR7kivT5-Q7DQtQEjRqzy4gtL7nuk47REwxh6', 'width': 3968}]",ChIJR4RFUo49sz4RLDfLY9j4hps,5.0,ChIJR4RFUo49sz4RLDfLY9j4hps,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"R2JR+RG7, Block 8 Delhi Colony, Karachi",,,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8305078, 'lng': 67.0423636}, 'viewport': {'northeast': {'lat': 24.8318567802915, 'lng': 67.04371258029151}, 'southwest': {'lat': 24.8291588197085, 'lng': 67.0410146197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Caffe Jeffrey,,,ChIJ6VThbgc9sz4RzUY6mk6qKXk,,ChIJ6VThbgc9sz4RzUY6mk6qKXk,GOOGLE,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",,"34, Block 8 Clifton, Karachi","{'compound_code': 'R2JR+6W Clifton, Karachi, Pakistan', 'global_code': '7JP9R2JR+6W'}",,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8498039, 'lng': 67.0513379}, 'viewport': {'northeast': {'lat': 24.8511830802915, 'lng': 67.0526603802915}, 'southwest': {'lat': 24.8484851197085, 'lng': 67.04996241970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,کیفے شاداب,,,ChIJka4KqGA9sz4RxfiPmUhxSvU,5.0,ChIJka4KqGA9sz4RxfiPmUhxSvU,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,"Office no, 31, near Kalapul, کراچی چھاؤنی Navy Heights Karachi Cantonment, کراچی","{'compound_code': 'R3X2+WG Karachi Cantonment, Karachi, Pakistan', 'global_code': '7JP9R3X2+WG'}",,8642e4417ffffff
OPERATIONAL,"{'location': {'lat': 24.8484942, 'lng': 67.0600245}, 'viewport': {'northeast': {'lat': 24.8498374302915, 'lng': 67.0613763802915}, 'southwest': {'lat': 24.84713946970849, 'lng': 67.0586784197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Bismillah۔ کیفے بسم اللہ,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112917720503495935276"">Mouzzum khan</a>'], 'photo_reference': 'AUGGfZn59XJHDkoedLePrRXJuoKlnGvz_0elS-3gXZOEjml-HhvfqcgoCsxG59eXGrdEiDV2WTwtE28RCODdrMV7veAMq8JddHplGkj_jarzB0JsuOdwbHrFHKoavKzJwi6HgZVcg4Lq7CXtU1gA8nsqhR6Kw5h-iuP81i6nPUZRbsllB7Wz', 'width': 3456}]",ChIJF_qx1w49sz4R_E1lny_LP2U,4.3,ChIJF_qx1w49sz4R_E1lny_LP2U,GOOGLE,"['cafe', 'food', 'point_of_interest', 'establishment']",24.0,"R3X6+92R, Chanesar Goth Chanesar Halt, Karachi",,,8642e4417ffffff
